评论属地,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,总平均值
美国,0.0,0.0,-0.4171099050568451,-0.7112955975594345,-0.16431689239413544,-0.258544479002083
英国,0.0,0.23250622392277218,-0.4956410048453736,-0.4088798317001034,0.0,-0.13440292252454097
西班牙,0.0,0.009018627010768387,0.0,0.0,-0.1325342419871247,-0.024703122995271266
西藏,0.0,-0.863847678311038,-0.9862725200133948,-0.8461610432404723,0.0,-0.539256248312981
贵州,0.0,-0.2000557910303524,-0.6305110520307052,-0.4641141380519426,-0.6774715807591986,-0.39443051237443977
越南,0.0,0.0,0.0,-0.5431575404422512,0.20200183152608564,-0.06823114178323311
辽宁,-0.6205873050141675,-0.310130128189715,-0.9575317121359473,-0.4003087028376625,0.029312135650444226,-0.4518491425054097
重庆,-0.4942179827675057,-0.0978129214318636,-0.8426049863553765,-0.5639800064797703,-0.373724690040217,-0.47446811741494666
陕西,-0.6331884669190131,-0.24213584204758987,-0.5947259292163671,-0.8989377527545868,-0.4159829348191038,-0.5569941851513321
青海,0.0,-0.5496567136033185,-0.8100268511291779,-0.7713051168074717,-0.7826220349361053,-0.5827221432952147
香港,0.0,-0.9340484879813004,-0.8232188857865506,-0.962745591033912,-0.605224536483365,-0.6650475002570256
马来西亚,0.0,0.0,0.0,0.0,-0.11638435203550879,-0.023276870407101757
黑龙江,-0.8354960788041019,-0.23814747001673772,-0.4245761066013164,-0.4880047018189848,-0.29309911452777965,-0.455864694353784
