发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;壹窗蓝海;山东;回复@七弦尘封:甚至不舍得用一个养过的号[苦涩]可能皮下连中国人都不是吧;2023-09-13 01:16:54;1;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;小桃可心;其他;回复@勤奋wzk123:还骂了普京。不过不是在这个楼里;2023-09-13 00:51:55;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;勤奋wzk123也是乌克兰的爹;其他;回复@小桃可心:我没看到它骂俄罗斯 只看到在洗日本;2023-09-13 00:44:35;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;放不下的叫执念;湖北;回复@李成41195:藏头露尾的东西，上大号说话！;2023-09-13 00:34:44;3;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;HelloLife57;其他;回复@李成41195:为小日本核污染水排海洗白的quanjiasijue,duanzijuesun;2023-09-13 00:23:45;7;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;小桃可心;其他;回复@李成41195:你这说辞和日本人很像啊！;2023-09-13 00:23:42;5;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;来自M78星云的香蕉蜀黍;广东;回复@李成41195:我们的是海水冷却，海水能干嘛?就问你喝不喝？本子的号称过滤水，没辐射就用起来啊！;2023-09-13 00:20:34;1;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;小桃可心;其他;这楼就一个骂俄罗斯的支持日本的。是什么成分大家嗯知道了吧;2023-09-13 00:15:32;12;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;七弦尘封;广东;回复@李成41195:大号都拿不出来经费那么少了吗;2023-09-13 00:13:56;9;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;那加丶;贵州;回复@李成41195:你拿钱办事我也就骂骂你，你要是自带狗粮那就是乐子了[笑哈哈];2023-09-13 00:10:56;12;0.0481844304403463;1
