发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;17;秦雪樰夏;其他;外网有博主发了全英文的科普向视频，ID是FakeYouTuber，有油管 推特或ins的兄弟姐妹们顶上去;2023-09-11 09:32:14;1;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;15;_清灰;上海;热搜没有了确实很让人隐忧…中国第一时间站出来全禁日本水产品很👍，希望有后续行动为人民群众阻止到底！而不是又一怒之下怒了一下结束😮‍💨;2023-09-10 21:59:48;1;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;140117;太湖食人鱼;江苏;反人类罪[哼];2023-09-10 16:56:46;3;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;60;淡淡风荷;其他;日本人只关心自己的利益，至于核污水排海污染全世界的环境它们是无所谓的。只有当它们自己利益受损，才会反对核污水排海。;2023-09-10 15:11:21;2;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;85;Turkeukra92890;其他;希望有效，不能再让岸田鬼子政府继续排海了;2023-09-10 10:36:59;1;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;56;心静若石佛;其他;看一下东电的股东。最后的黑手是美国，日本就是他一条咬人的狗。;2023-09-10 07:05:42;1;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;0;我与爱因斯坦的距离;其他;快点吧，马上就要排第二次了，富士山怎么还不爆发[泪][泪][泪][泪][泪];2023-09-09 23:31:17;2;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;21;爱情呃呃地方v吃;山东;说实话真的不知道怎么办，现在每天除了越来越多的水，什么方案啊指导啊都没有，这样只能让人心慌，时间长了自然大家也不关注了，危害人人都清楚，关键是告诉我们如何预防，可以说防不胜防，水越多问题越大天天关注希望国家拿出方案，时间长了没有就都不关注了，毕竟普通人不懂，可以用色变形容;2023-09-11 11:30:17;0;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;30;流年似水青春永驻;其他;赶紧准备提高抵制措施吧;2023-09-11 00:15:14;0;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;5;酸菜不思鱼;四川;日本这个罪人！竟然也没有谁去武力反对;2023-09-10 20:49:45;0;0.0362787914731411;0
